Registrant TERMS OF USE,You are not authorized to access or query our Whois
Registrant Domain Name,holbertonschool.com
Registrant Registry Domain ID,1950068353_DOMAIN_COM-VRSN
Registrant Updated Date,2025-05-31T18
Registrant Creation Date,2015-07-30T07
Registrant Reseller,Holberton Inc
Registrant Domain Status,clientTransferProhibited http
Registrant Registrant Name,Holberton Inc
Registrant Registrant Organization,Holberton Inc
Registrant Registrant Street,5670 Wilshire Blvd suite 1802 
Registrant Registrant City,Los Angeles
Registrant Registrant Postal Code,90036
Registrant Registrant Country,US
Registrant Registrant Phone,+1.4156227634
Registrant Registrant Email,7da97d10931ddb501d08b8f88c7384bc-37846707@contact.gandi.net
Admin Admin Name,Holberton Inc
Admin Admin Organization,Holberton Inc
Admin Admin Street,5670 Wilshire Blvd Suite 1802 
Admin Admin City,Los Angeles
Admin Admin State/Province,California
Admin Admin Postal Code,90036
Admin Admin Country,US
Admin Admin Phone,+1.4153580819
Admin Admin Email,624a82de74a4fa2b64fb39bbe08b290d-37876671@contact.gandi.net
Tech Tech Name,Holberton Inc
Tech Tech Organization,Holberton Inc
Tech Tech Street,5670 Wilshire Blvd Suite 1802 
Tech Tech City,Los Angeles
Tech Tech State/Province,California
Tech Tech Postal Code,90036
Tech Tech Country,US
Tech Tech Phone,+1.4153580819
Tech Tech Email,2c420b43d982c37b7621f2015f3e107b-37876677@contact.gandi.net
